[(1531, 4526)]
[(1517, 4423)]
[(1517, 4423)]
[(1517, 4423)]
[(1518, 4428)]
[(1518, 4428)]
[(1543, 4526)]
[(1543, 4526)]
[(1529, 4425)]
[(1529, 4424)]
[(1529, 4424)]
[(1529, 4424)]
[(1529, 4425)]
[(1557, 4533)]
[(1530, 4429)]
[(1530, 4429)]
[(1544, 4532)]
[(1544, 4532)]
[(1518, 4430)]
[(1532, 4532)]
[(1520, 4536)]
[(1467, 4328)]
[(1442, 4326)]
[(1442, 4326)]
[(1442, 4326)]
[(1418, 4322)]
[(1394, 4324)]
[(1419, 4526)]
[(1395, 4431)]
[(1359, 4333)]
[(1359, 4333)]
[(1359, 4333)]
[(1347, 4331)]
[(1334, 4329)]
[(1346, 4428)]
[(1320, 4319)]
[(1283, 4211)]
[(1283, 4211)]
[(1294, 4306)]
[(1281, 4300)]
[(1237, 4111)]
[(1237, 4111)]
[(1247, 4204)]
[(1225, 4112)]
[(1213, 4110)]
[(1213, 4110)]
[(1223, 4204)]
[(1223, 4204)]
[(1201, 4108)]
[(1201, 4108)]
[(1202, 4112)]
[(1210, 4201)]
[(1210, 4201)]
[(1210, 4201)]
[(1189, 4109)]
[(1189, 4109)]
[(1190, 4113)]
[(1190, 4113)]
[(1190, 4113)]
[(1212, 4209)]
[(1190, 4113)]
[(1190, 4113)]
[(1191, 4117)]
[(1191, 4117)]
[(1191, 4117)]
[(1191, 4117)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1210, 4306)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1188, 4208)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1189, 4212)]
[(1179, 4118)]
[(1179, 4118)]
[(1179, 4118)]
[(1179, 4118)]
[(1179, 4118)]
[(1179, 4118)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1200, 4210)]
[(1191, 4117)]
[(1191, 4121)]
[(1191, 4121)]
[(1191, 4120)]
[(1203, 4119)]
[(1203, 4119)]
[(1203, 4119)]
[(1212, 4209)]
[(1190, 4113)]
[(1190, 4113)]
[(1190, 4113)]
[(1211, 4205)]
[(1211, 4205)]
[(1233, 4299)]
[(1223, 4204)]
[(1268, 4398)]
[(1306, 4404)]
[(1273, 4116)]
[(1369, 4522)]
[(1369, 4522)]
[(1431, 4626)]
[]
[(1467, 4518)]
[(1504, 4515)]
[(1614, 4949)]
[(1553, 4512)]
[(1497, 4115)]
[(1573, 4307)]
[(1629, 4519)]
[(1629, 4519)]
[(1643, 4526)]
[(1673, 4637)]
[(1656, 4532)]
[(1656, 4532)]
[(1686, 4643)]
[(1715, 4746)]
[(1732, 4858)]
[(1744, 4853)]
[]
[]
[(1788, 4968)]
[]
[]
[(1826, 4964)]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[(2011, 4768)]
[(2011, 4768)]
[(2014, 4919)]
[]
[]
[]
[(1944, 4825)]
[(1930, 4820)]
[(1895, 4701)]
[(1914, 4806)]
[(1914, 4802)]
[(1882, 4692)]
[(1882, 4692)]
[(1882, 4692)]
[(1882, 4692)]
[(1882, 4692)]
[(1862, 4581)]
[(1844, 4478)]
[(1843, 4473)]
[(1853, 4455)]
[(1814, 4241)]
[(1843, 4334)]
[(1844, 4213)]
[(1844, 4213)]
[(1808, 4017)]
[(1895, 4297)]
[(2000, 4460)]
[(1916, 4031)]
[(1999, 4212)]
[(2065, 4414)]
[(1998, 4092)]
[(1998, 4092)]
[(2062, 4282)]
[(2076, 4238)]
[(2089, 4188)]
[(2089, 4188)]
[(2077, 4029)]
[(2000, 3675)]
[(2029, 3755)]
[(1956, 3422)]
[(1983, 3497)]
[(1992, 3441)]
[(2020, 3520)]
[(1943, 3176)]
[]
[]
[]
[]
[]
[]
[]
[(1943, 1999)]
[(2061, 2265)]
[(1961, 1908)]
[(1993, 1869)]
[(2088, 2072)]
[(2218, 2352)]
[(2122, 2035)]
[(2191, 2069)]
[(2191, 2069)]
[(2209, 1965)]
[(2091, 1598)]
[(2234, 1878)]
[(2130, 1564)]
[(2361, 2007)]
[(2361, 2007)]
[(2460, 2065)]
[(2596, 2189)]
[(2596, 2189)]
[(3097, 2944)]
[(4248, 4892)]
[(4099, 4562)]
[]
[]
[(-842, -4108)]
[(-842, -4108)]
[(2430, 1564)]
[(2412, 1519)]
[(2370, 1433)]
[(2370, 1433)]
[(2370, 1433)]
[(2299, 1309)]
[(2299, 1309), (1493, 3263)]
